House,Day,Occupant-2 Activity ID,Occupant-2 Zone ID,Start Time,Duration
B,10,25,2,615,24
B,10,27,1,640,2
B,10,21,4,643,3
B,10,1,0,647,693
B,10,27,1,1341,1
B,10,1,0,1343,0
B,10,15,4,1344,0
B,10,1,0,1345,11
B,10,8,3,1357,8
B,10,1,0,1366,13
B,10,25,2,1380,108
B,11,11,1,49,471
B,11,1,0,521,4
B,11,17,1,526,93
B,11,15,4,620,20
B,11,18,2,641,51
B,11,4,3,693,18
B,11,12,2,712,60
B,11,1,0,773,53
B,11,27,1,827,1
B,11,18,2,829,16
B,11,1,0,846,792
B,12,27,1,199,1
B,12,1,0,201,2
B,12,11,1,204,492
B,12,15,4,697,12
B,12,4,3,710,11
B,12,17,1,722,30
B,12,21,4,753,3
B,12,17,1,757,41
B,12,1,0,799,1
B,12,15,4,801,2
B,12,27,1,804,2
B,12,1,0,807,719
B,13,27,1,87,32
B,13,12,2,120,19
B,13,11,1,140,397
B,13,15,4,538,1
B,13,17,1,540,25
B,13,14,4,566,22
B,13,27,1,589,4
B,13,1,0,594,795
B,13,27,1,1390,2
B,13,25,2,1393,0
B,13,1,0,1394,0
B,13,12,2,1395,101
B,14,15,4,57,0
B,14,12,2,58,30
B,14,11,1,89,307
B,14,15,4,397,3
B,14,11,1,401,108
B,14,15,4,510,1
B,14,27,1,512,1
B,14,1,0,514,703
B,14,27,1,1218,4
B,14,1,0,1223,2
B,14,15,4,1226,11
B,14,11,1,1238,30
B,14,12,2,1269,113
B,14,11,1,1383,56
B,15,2,0,0,68
B,15,27,1,69,0
B,15,18,2,70,0
B,15,1,0,71,4
B,15,11,1,76,506
B,15,1,0,583,1
B,15,15,4,585,2
B,15,17,1,588,5
B,15,2,0,594,22
B,15,17,1,617,43
B,15,4,3,661,9
B,15,1,0,671,8
B,15,21,4,680,2
B,15,27,1,683,1
B,15,1,0,685,754
B,16,11,1,0,428
B,16,15,4,429,1
B,16,3,3,431,13
B,16,1,0,445,0
B,16,20,4,446,11
B,16,27,1,458,7
B,16,2,0,466,997
B,17,27,1,24,2
B,17,1,0,27,5
B,17,15,4,33,1
B,17,11,1,35,69
B,17,1,0,105,0
B,17,15,4,106,0
B,17,11,1,107,497
B,17,15,4,605,1
B,17,17,1,607,3
B,17,4,3,611,15
B,17,1,0,627,7
B,17,25,2,635,23
B,17,15,4,659,18
B,17,17,1,678,92
B,17,15,4,771,16
B,17,18,2,788,140
B,17,15,4,929,1
B,17,6,3,931,6
B,17,1,0,938,6
B,17,12,2,945,82
B,17,15,4,1028,1
B,17,12,2,1030,361
B,17,1,0,1392,9
B,17,15,4,1402,1
B,17,1,0,1404,6
B,17,12,2,1411,28
B,18,11,1,0,567
B,18,15,4,568,0
B,18,4,3,569,13
B,18,17,1,583,39
B,18,1,0,623,630
B,18,27,1,1254,0
B,18,12,2,1255,6
B,18,11,1,1262,401
B,19,15,4,224,4
B,19,11,1,229,326
B,19,15,4,556,1
B,19,4,3,558,11
B,19,18,2,570,16
B,19,17,1,587,51
B,19,15,4,639,14
B,19,27,1,654,3
B,19,1,0,658,6398
B,23,15,4,1297,1
B,23,27,1,1299,0
B,23,1,0,1300,0
B,23,12,2,1301,109
B,23,11,1,1411,672
B,24,22,2,644,2
B,24,15,4,647,10
B,24,17,1,658,18
B,24,4,3,677,8
B,24,15,4,686,0
B,24,17,1,687,187
B,24,6,3,875,9
B,24,15,4,885,1
B,24,25,2,887,40
B,24,17,1,928,303
B,24,8,3,1232,3
B,24,1,0,1236,3
B,24,15,4,1240,1
B,24,12,2,1242,155
B,24,11,1,1398,414
B,25,15,4,373,1
B,25,17,1,375,250
B,25,15,4,626,1
B,25,27,1,628,13
B,25,14,4,642,21
B,25,27,1,664,2
B,25,1,0,667,767
B,25,27,1,1435,2
B,25,25,2,1438,7
B,26,1,0,6,0
B,26,11,1,7,493
B,26,1,0,501,5
B,26,15,4,507,5
B,26,17,1,513,9
B,26,1,0,523,748
B,26,12,2,1272,40
B,26,27,1,1313,1
B,26,12,2,1315,76
B,26,15,4,1392,1
B,26,1,0,1394,0
B,26,11,1,1395,539
B,27,15,4,495,1
B,27,4,3,497,6
B,27,17,1,504,24
B,27,1,0,529,0
B,27,27,1,530,2
B,27,1,0,533,807
B,27,27,1,1341,1
B,27,15,4,1343,0
B,27,12,2,1344,117
B,28,15,4,22,1
B,28,11,1,24,590
B,28,15,4,615,2
B,28,17,1,618,15
B,28,4,3,634,13
B,28,17,1,648,88
B,28,15,4,737,17
B,28,18,2,755,319
B,28,15,4,1075,18
B,28,1,0,1094,7
B,28,12,2,1102,1
B,28,27,1,1104,2
B,28,1,0,1107,1471
B,29,27,1,1139,0
B,29,1,0,1140,5
B,29,17,1,1146,77
B,29,15,4,1224,1
B,29,8,3,1226,13
B,29,15,4,1240,0
B,29,12,2,1241,94
B,29,15,4,1336,1
B,29,12,2,1338,13
B,29,15,4,1352,13
B,29,12,2,1366,88
B,30,11,1,15,452
B,30,15,4,468,3
B,30,17,1,472,16
B,30,4,3,489,12
B,30,17,1,502,17
B,30,21,4,520,3
B,30,27,1,524,11
B,30,2,0,536,718
B,30,27,1,1255,1
B,30,12,2,1257,14
B,30,8,3,1272,12
B,30,12,2,1285,50
B,30,15,4,1336,1
B,30,12,2,1338,69
B,30,11,1,1408,31
