House,Day,Minute,Occupant-1 Activity,Occupant-2 Activity,Control Cost ($)
B,1,262,11,11,0.0005654024587341
B,1,263,11,11,0.0005654024587341
B,1,264,11,11,0.0005654024587341
B,1,265,11,11,0.0005654024587341
B,1,266,11,11,0.0005654024587341
B,1,267,11,11,0.0005654024587341
B,1,268,11,11,0.0005654024587341
B,1,269,11,11,0.0005654024587341
B,1,270,11,11,0.0005654024587341
B,1,271,11,11,0.0005654024587341
B,1,272,11,11,0.0005654024587341
B,1,273,11,11,0.0005654024587341
B,1,274,11,11,0.0005654024587341
B,1,275,11,11,0.0005654024587341
B,1,276,11,11,0.0005654024587341
B,1,277,11,11,0.0005654024587341
B,1,278,11,11,0.0005654024587341
B,1,279,11,11,0.0005654024587341
B,1,280,11,11,0.0005654024587341
B,1,281,11,11,0.0005654024587341
B,1,282,11,11,0.0005654024587341
B,1,283,11,11,0.0005654024587341
B,1,284,11,11,0.0005654024587341
B,1,285,11,11,0.0005654024587341
B,1,286,11,11,0.0005654024587341
B,1,287,11,11,0.0005654024587341
B,1,288,11,11,0.0005654024587341
B,1,289,11,11,0.0005654024587341
B,1,290,11,11,0.0005654024587341
B,1,291,11,11,0.0005654024587341
B,1,292,11,11,0.0005654024587341
B,1,293,11,11,0.0005654024587341
B,1,294,11,11,0.0005654024587341
B,1,295,11,11,0.0005654024587341
B,1,296,11,11,0.0005654024587341
B,1,297,11,11,0.0005654024587341
B,1,298,11,11,0.0005654024587341
B,1,299,11,11,0.0005654024587341
B,1,300,11,11,0.0005654024587341
B,1,301,15,11,0.0013837481226913503
B,1,302,15,11,0.0013837481226913503
B,1,303,11,11,0.0005654024587341
B,1,304,11,11,0.0005654024587341
B,1,305,11,11,0.0005654024587341
B,1,306,11,11,0.0005654024587341
B,1,307,11,11,0.0005654024587341
B,1,308,11,11,0.0005654024587341
B,1,309,11,11,0.0005654024587341
B,1,310,11,11,0.0005654024587341
B,1,311,11,11,0.0005654024587341
B,1,312,11,11,0.0005654024587341
B,1,313,11,11,0.0005654024587341
B,1,314,11,11,0.0005654024587341
B,1,315,11,11,0.0005654024587341
B,1,316,11,11,0.0005654024587341
B,1,317,11,11,0.0005654024587341
B,1,318,11,11,0.0005654024587341
B,1,319,11,11,0.0005654024587341
B,1,320,11,11,0.0005654024587341
B,1,321,11,11,0.0005654024587341
B,1,322,11,11,0.0005654024587341
B,1,323,1,11,0.00028270122936705
B,1,324,11,11,0.0005654024587341
B,1,325,11,11,0.0005654024587341
B,1,326,11,11,0.0005654024587341
B,1,327,11,11,0.0005654024587341
B,1,328,11,11,0.0005654024587341
B,1,329,11,11,0.0005654024587341
B,1,330,11,11,0.0005654024587341
B,1,331,11,11,0.0005654024587341
B,1,332,11,11,0.0005654024587341
B,1,333,11,11,0.0005654024587341
B,1,334,11,11,0.0005654024587341
B,1,335,11,11,0.0005654024587341
B,1,336,11,11,0.0005654024587341
B,1,337,11,11,0.0005654024587341
B,1,338,11,11,0.0005654024587341
B,1,339,11,11,0.0005654024587341
B,1,340,11,11,0.0005654024587341
B,1,341,11,11,0.0005654024587341
B,1,342,11,11,0.0005654024587341
B,1,343,11,11,0.0005654024587341
B,1,344,11,11,0.0005654024587341
B,1,345,11,11,0.0005654024587341
B,1,346,11,11,0.0005654024587341
B,1,347,11,11,0.0005654024587341
B,1,348,11,11,0.0005654024587341
B,1,349,11,11,0.0005654024587341
B,1,350,11,11,0.0005654024587341
B,1,351,11,11,0.0005654024587341
B,1,352,11,11,0.0005654024587341
B,1,353,11,11,0.0005654024587341
B,1,354,11,11,0.0005654024587341
B,1,355,11,11,0.0005654024587341
B,1,356,11,11,0.0005654024587341
B,1,357,11,11,0.0005654024587341
B,1,358,11,11,0.0005654024587341
B,1,359,11,11,0.0005654024587341
B,1,360,11,11,0.0005654024587341
B,1,361,11,11,0.0005654024587341
B,1,362,11,11,0.0005654024587341
B,1,363,11,11,0.0005654024587341
B,1,364,11,11,0.0005654024587341
B,1,365,11,11,0.0005654024587341
B,1,366,11,11,0.0005654024587341
B,1,367,11,11,0.0005654024587341
B,1,368,11,11,0.0005654024587341
B,1,369,11,11,0.0005654024587341
B,1,370,11,11,0.0005654024587341
B,1,371,11,11,0.0005654024587341
B,1,372,11,11,0.0005654024587341
B,1,373,11,11,0.0005654024587341
B,1,374,11,11,0.0005654024587341
B,1,375,11,11,0.0005654024587341
B,1,376,11,11,0.0005654024587341
B,1,377,11,11,0.0005654024587341
B,1,378,11,11,0.0005654024587341
B,1,379,11,11,0.0005654024587341
B,1,380,11,11,0.0005654024587341
B,1,381,11,11,0.0005654024587341
B,1,382,11,11,0.0005654024587341
B,1,383,11,11,0.0005654024587341
B,1,384,11,11,0.0005654024587341
B,1,385,11,11,0.0005654024587341
B,1,386,11,11,0.0005654024587341
B,1,387,11,11,0.0005654024587341
B,1,388,11,11,0.0005654024587341
B,1,389,11,11,0.0005654024587341
B,1,390,11,11,0.0005654024587341
B,1,391,11,11,0.0005654024587341
B,1,392,11,11,0.0005654024587341
B,1,393,11,11,0.0005654024587341
B,1,394,11,11,0.0005654024587341
B,1,395,11,11,0.0005654024587341
B,1,396,11,11,0.0005654024587341
B,1,397,11,11,0.0005654024587341
B,1,398,11,11,0.0005654024587341
B,1,399,11,11,0.0005654024587341
B,1,400,11,11,0.0005654024587341
B,1,401,11,11,0.0005654024587341
B,1,402,11,11,0.0005654024587341
B,1,403,11,11,0.0005654024587341
B,1,404,11,11,0.0005654024587341
B,1,405,11,11,0.0005654024587341
B,1,406,11,11,0.0005654024587341
B,1,407,11,11,0.0005654024587341
B,1,408,11,11,0.0005654024587341
B,1,409,11,11,0.0005654024587341
B,1,410,11,11,0.0005654024587341
B,1,411,11,11,0.0005654024587341
B,1,412,11,11,0.0005654024587341
B,1,413,11,11,0.0005654024587341
B,1,414,11,11,0.0005654024587341
B,1,415,11,11,0.0005654024587341
B,1,416,11,11,0.0005654024587341
B,1,417,11,11,0.0005654024587341
B,1,418,11,11,0.0005654024587341
B,1,419,11,11,0.0005654024587341
B,1,420,11,11,0.0005654024587341
B,1,421,11,11,0.0005654024587341
B,1,422,11,11,0.0005654024587341
B,1,423,11,11,0.0005654024587341
B,1,424,11,11,0.0005654024587341
B,1,425,11,11,0.0005654024587341
B,1,426,11,11,0.0005654024587341
B,1,427,11,11,0.0005654024587341
B,1,428,11,11,0.0005654024587341
B,1,429,11,11,0.0005654024587341
B,1,430,11,11,0.0005654024587341
B,1,431,11,11,0.0005654024587341
B,1,432,11,11,0.0005654024587341
B,1,433,11,11,0.0005654024587341
B,1,434,11,11,0.0005654024587341
B,1,435,11,11,0.0005654024587341
B,1,436,11,11,0.0005654024587341
B,1,437,11,11,0.0005654024587341
B,1,438,11,11,0.0005654024587341
B,1,439,11,11,0.0005654024587341
B,1,440,11,11,0.0005654024587341
B,1,441,11,11,0.0005654024587341
B,1,442,11,11,0.0005654024587341
B,1,443,11,11,0.0005654024587341
B,1,444,11,11,0.0005654024587341
B,1,445,11,11,0.0005654024587341
B,1,446,11,11,0.0005654024587341
B,1,447,11,11,0.0005654024587341
B,1,448,11,11,0.0005654024587341
B,1,449,11,11,0.0005654024587341
B,1,450,11,11,0.0005654024587341
B,1,451,11,11,0.0005654024587341
B,1,452,11,11,0.0005654024587341
B,1,453,11,11,0.0005654024587341
B,1,454,11,11,0.0005654024587341
B,1,455,11,11,0.0005654024587341
B,1,456,11,11,0.0005654024587341
B,1,457,11,11,0.0005654024587341
B,1,458,11,11,0.0005654024587341
B,1,459,11,11,0.0005654024587341
B,1,460,11,11,0.0005654024587341
B,1,461,11,11,0.0005654024587341
B,1,462,11,11,0.0005654024587341
B,1,463,11,11,0.0005654024587341
B,1,464,11,11,0.0005654024587341
B,1,465,11,11,0.0005654024587341
B,1,466,11,11,0.0005654024587341
B,1,467,11,11,0.0005654024587341
B,1,468,11,11,0.0005654024587341
B,1,469,11,11,0.0005654024587341
B,1,470,11,11,0.0005654024587341
B,1,471,11,11,0.0005654024587341
B,1,472,11,11,0.0005654024587341
B,1,473,11,11,0.0005654024587341
B,1,474,11,11,0.0005654024587341
B,1,475,11,11,0.0005654024587341
B,1,476,11,11,0.0005654024587341
B,1,477,11,11,0.0005654024587341
B,1,478,11,11,0.0005654024587341
B,1,479,11,11,0.0005654024587341
B,1,480,11,11,0.0005654024587341
B,1,481,11,11,0.0005654024587341
B,1,482,11,11,0.0005654024587341
B,1,483,11,11,0.0005654024587341
B,1,484,11,11,0.0005654024587341
B,1,485,11,11,0.0005654024587341
B,1,486,11,11,0.0005654024587341
B,1,487,11,11,0.0005654024587341
B,1,488,11,11,0.0005654024587341
B,1,489,11,11,0.0005654024587341
B,1,490,11,11,0.0005654024587341
B,1,491,11,11,0.0005654024587341
B,1,492,11,11,0.0005654024587341
B,1,493,11,11,0.0005654024587341
B,1,494,11,11,0.0005654024587341
B,1,495,11,11,0.0005654024587341
B,1,496,11,11,0.0005654024587341
B,1,497,11,11,0.0005654024587341
B,1,498,11,11,0.0005654024587341
B,1,499,11,11,0.0005654024587341
B,1,500,11,11,0.0005654024587341
B,1,501,11,11,0.0005654024587341
B,1,502,11,11,0.0005654024587341
B,1,503,11,11,0.0005654024587341
B,1,504,11,11,0.0005654024587341
B,1,505,11,11,0.0005654024587341
B,1,506,11,11,0.0005654024587341
B,1,507,11,11,0.0005654024587341
B,1,508,11,11,0.0005654024587341
B,1,509,11,11,0.0005654024587341
B,1,510,11,11,0.0005654024587341
B,1,511,11,11,0.0005654024587341
B,1,512,11,11,0.0005654024587341
B,1,513,11,11,0.0005654024587341
B,1,514,11,11,0.0005654024587341
B,1,515,11,11,0.0005654024587341
B,1,516,11,11,0.0005654024587341
B,1,517,11,11,0.0005654024587341
B,1,518,11,11,0.0005654024587341
B,1,519,11,11,0.0005654024587341
B,1,520,11,11,0.0005654024587341
B,1,521,11,11,0.0005654024587341
B,1,522,11,11,0.0005654024587341
B,1,523,11,11,0.0005654024587341
B,1,524,11,11,0.0005654024587341
B,1,525,11,11,0.0005654024587341
B,1,526,11,11,0.0005654024587341
B,1,527,11,11,0.0005654024587341
B,1,528,11,11,0.0005654024587341
B,1,529,11,11,0.0005654024587341
B,1,530,11,11,0.0005654024587341
B,1,531,11,11,0.0005654024587341
B,1,532,11,11,0.0005654024587341
B,1,533,11,11,0.0005654024587341
B,1,534,11,11,0.0005654024587341
B,1,535,11,11,0.0005654024587341
B,1,536,11,11,0.0005654024587341
B,1,537,11,11,0.0005654024587341
B,1,538,11,11,0.0005654024587341
B,1,539,11,11,0.0005654024587341
B,1,540,11,11,0.0005654024587341
B,1,541,11,11,0.0005654024587341
B,1,542,11,11,0.0005654024587341
B,1,543,11,11,0.0005654024587341
B,1,544,11,11,0.0005654024587341
B,1,545,11,11,0.0005654024587341
B,1,546,11,11,0.0005654024587341
B,1,547,11,11,0.0005654024587341
B,1,548,11,11,0.0005654024587341
B,1,549,11,11,0.0005654024587341
B,1,550,11,11,0.0005654024587341
B,1,551,11,11,0.0005654024587341
B,1,552,11,11,0.0005654024587341
B,1,553,11,11,0.0005654024587341
B,1,554,11,11,0.0005654024587341
B,1,555,11,11,0.0005654024587341
B,1,556,11,11,0.0005654024587341
B,1,557,11,11,0.0005654024587341
B,1,558,11,11,0.0005654024587341
B,1,559,11,11,0.0005654024587341
B,1,560,11,11,0.0005654024587341
B,1,561,11,11,0.0005654024587341
B,1,562,11,11,0.0005654024587341
B,1,563,11,11,0.0005654024587341
B,1,564,11,11,0.0005654024587341
B,1,565,11,11,0.0005654024587341
B,1,566,11,11,0.0005654024587341
B,1,567,11,11,0.0005654024587341
B,1,568,11,11,0.0005654024587341
B,1,569,11,11,0.0005654024587341
B,1,570,11,11,0.0005654024587341
B,1,571,11,11,0.0005654024587341
B,1,572,11,11,0.0005654024587341
B,1,573,11,11,0.0005654024587341
B,1,574,11,11,0.0005654024587341
B,1,575,11,11,0.0005654024587341
B,1,576,11,11,0.0005654024587341
B,1,577,11,11,0.0005654024587341
B,1,578,11,11,0.0005654024587341
B,1,579,11,11,0.0005654024587341
B,1,580,11,11,0.0005654024587341
B,1,581,11,11,0.0005654024587341
B,1,582,11,11,0.0005654024587341
B,1,583,11,11,0.0005654024587341
B,1,584,11,11,0.0005654024587341
B,1,585,11,11,0.0005654024587341
B,1,586,11,11,0.0005654024587341
B,1,587,11,11,0.0005654024587341
B,1,588,11,11,0.0005654024587341
B,1,589,11,11,0.0005654024587341
B,1,590,11,11,0.0005654024587341
B,1,591,11,11,0.0005654024587341
B,1,592,11,11,0.0005654024587341
B,1,593,11,11,0.0005654024587341
B,1,594,11,11,0.0005654024587341
B,1,595,11,11,0.0005654024587341
B,1,596,11,11,0.0005654024587341
B,1,597,11,11,0.0005654024587341
B,1,598,11,11,0.0005654024587341
B,1,599,11,11,0.0005654024587341
B,1,600,11,11,0.0005654024587341
B,1,601,11,11,0.0005654024587341
B,1,602,11,11,0.0005654024587341
B,1,603,11,11,0.0005654024587341
B,1,604,11,11,0.0005654024587341
B,1,605,11,11,0.0005654024587341
B,1,606,11,11,0.0005654024587341
B,1,607,11,11,0.0005654024587341
B,1,608,11,11,0.0005654024587341
B,1,609,11,11,0.0005654024587341
B,1,610,11,11,0.0005654024587341
B,1,611,11,11,0.0005654024587341
B,1,612,11,11,0.0005654024587341
B,1,613,11,11,0.0005654024587341
B,1,614,11,11,0.0005654024587341
B,1,615,11,11,0.0005654024587341
B,1,616,11,11,0.0005654024587341
B,1,617,11,11,0.0005654024587341
B,1,618,11,11,0.0005654024587341
B,1,619,11,11,0.0005654024587341
B,1,620,11,15,0.0013837481226913503
B,1,621,11,15,0.0013837481226913503
B,1,622,11,15,0.0013837481226913503
B,1,623,11,15,0.0013837481226913503
B,1,624,11,15,0.0013837481226913503
B,1,625,11,15,0.0013837481226913503
B,1,626,11,15,0.0013837481226913503
B,1,627,11,15,0.0013837481226913503
B,1,628,11,15,0.0013837481226913503
B,1,629,11,18,0.001062829889642125
B,1,630,11,18,0.001062829889642125
B,1,631,11,18,0.001062829889642125
B,1,632,11,18,0.001062829889642125
B,1,633,11,18,0.001062829889642125
B,1,634,11,18,0.001062829889642125
B,1,635,11,18,0.001062829889642125
B,1,636,11,18,0.001062829889642125
B,1,637,11,18,0.001062829889642125
B,1,638,11,18,0.001062829889642125
B,1,639,11,18,0.001062829889642125
B,1,640,11,18,0.001062829889642125
B,1,641,11,18,0.001062829889642125
B,1,642,11,18,0.001062829889642125
B,1,643,11,18,0.001062829889642125
B,1,644,11,18,0.001062829889642125
B,1,645,11,18,0.001062829889642125
B,1,646,11,18,0.001062829889642125
B,1,647,11,18,0.001062829889642125
B,1,648,1,18,0.000780128660275075
B,1,649,1,18,0.000780128660275075
B,1,650,1,18,0.000780128660275075
B,1,651,1,18,0.000780128660275075
B,1,652,1,18,0.000780128660275075
B,1,653,15,18,0.0018811755535993754
B,1,654,15,18,0.0018811755535993754
B,1,655,15,18,0.0018811755535993754
B,1,656,15,18,0.0018811755535993754
B,1,657,3,18,0.01119067171288024
B,1,658,3,18,0.01119067171288024
B,1,659,3,18,0.01119067171288024
B,1,660,3,18,0.01119067171288024
B,1,661,3,18,0.01119067171288024
B,1,662,3,18,0.01119067171288024
B,1,663,3,18,0.01119067171288024
B,1,664,3,18,0.01119067171288024
B,1,665,3,18,0.01119067171288024
B,1,666,3,18,0.01119067171288024
B,1,667,3,18,0.01119067171288024
B,1,668,3,18,0.01119067171288024
B,1,669,3,18,0.01119067171288024
B,1,670,3,18,0.01119067171288024
B,1,671,4,18,0.0016133533363042749
B,1,672,4,4,0.0016664493520584
B,1,673,4,4,0.0016664493520584
B,1,674,4,4,0.0016664493520584
B,1,675,4,4,0.0016664493520584
B,1,676,4,4,0.0016664493520584
B,1,677,4,4,0.0016664493520584
B,1,678,4,4,0.0016664493520584
B,1,679,4,4,0.0016664493520584
B,1,680,4,4,0.0016664493520584
B,1,681,4,4,0.0016664493520584
B,1,682,4,4,0.0016664493520584
B,1,683,4,4,0.0016664493520584
B,1,684,4,4,0.0016664493520584
B,1,685,4,4,0.0016664493520584
B,1,686,4,4,0.0016664493520584
B,1,687,4,4,0.0016664493520584
B,1,688,4,4,0.0016664493520584
B,1,689,9,18,0.004874000980825225
B,1,690,9,18,0.004874000980825225
B,1,691,1,18,0.000780128660275075
B,1,692,1,18,0.000780128660275075
B,1,693,1,18,0.000780128660275075
B,1,694,1,18,0.000780128660275075
B,1,695,1,18,0.000780128660275075
B,1,696,1,18,0.000780128660275075
B,1,697,1,18,0.000780128660275075
B,1,698,1,18,0.000780128660275075
B,1,699,1,18,0.000780128660275075
B,1,700,1,15,0.0011010468933243004
B,1,701,1,15,0.0011010468933243004
B,1,702,1,15,0.0011010468933243004
B,1,703,1,15,0.0011010468933243004
B,1,704,1,15,0.0011010468933243004
B,1,705,1,15,0.0011010468933243004
B,1,706,1,15,0.0011010468933243004
B,1,707,1,15,0.0011010468933243004
B,1,708,1,15,0.0011010468933243004
B,1,709,1,15,0.0011010468933243004
B,1,710,1,15,0.0011010468933243004
B,1,711,15,18,0.0018811755535993754
B,1,712,15,18,0.0018811755535993754
B,1,713,13,18,0.00151814349918014
B,1,714,13,18,0.00151814349918014
B,1,715,13,18,0.00151814349918014
B,1,716,13,18,0.00151814349918014
B,1,717,13,18,0.00151814349918014
B,1,718,13,18,0.00151814349918014
B,1,719,13,18,0.00151814349918014
B,1,720,13,18,0.00151814349918014
B,1,721,13,18,0.00151814349918014
B,1,722,13,18,0.00151814349918014
B,1,723,13,18,0.00151814349918014
B,1,724,13,18,0.00151814349918014
B,1,725,13,18,0.00151814349918014
B,1,726,13,18,0.00151814349918014
B,1,727,13,18,0.00151814349918014
B,1,728,13,18,0.00151814349918014
B,1,729,13,18,0.00151814349918014
B,1,730,13,18,0.00151814349918014
